case_id,varied_parameter,level,sheet_thickness_m,electrode_tip_radius_m,effective_contact_radius_m,bulk_resistivity_scale,thermal_conductivity_scale,volumetric_heat_capacity_scale,latent_heat_scale,faying_resistance_scale,electrode_resistance_scale,faying_force_exponent,electrode_force_exponent,screening_peak_current_a,force_n,maximum_temperature_k,maximum_liquid_fraction,terminal_energy_j,maximum_active_voltage_v,initial_center_faying_resistivity_ohm_m2,final_active_center_faying_resistivity_ohm_m2,contact_fraction_of_terminal_energy,electrode_absorbed_energy_j,max_current_conservation_relative_error,max_target_current_relative_error,max_electrical_power_balance_relative_error,max_terminal_partition_energy_relative_gap,max_electrical_thermal_source_relative_gap,max_thermal_energy_balance_relative_error,maximum_nonlinear_iterations
baseline,none,nominal,0.00063,0.0015875,0.00135,1.15,1.0,1.0,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1327.953637505696,0.0,110.91881331578112,0.8083454375300703,1.0017292746407958e-09,1.4464518834935225e-09,0.9251303979541213,21.705959754997316,6.882242144597779e-13,1.0770331994679414e-15,1.4135864162520796e-13,1.0807134123624992e-13,1.9221387559514116e-16,2.136264017152109e-15,5
sheet_thickness_m__low,sheet_thickness_m,low,0.0006,0.0015875,0.00135,1.15,1.0,1.0,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1364.177237890199,0.0,111.12345340286069,0.8108045788199474,1.0017292746407958e-09,1.4560904616690204e-09,0.9256969685731296,21.760497554472277,5.034531855733874e-13,9.573628439715034e-16,1.7043834965480384e-13,2.0916794485166446e-14,2.260753944481933e-16,3.3887961622727707e-15,5
sheet_thickness_m__high,sheet_thickness_m,high,0.00066,0.0015875,0.00135,1.15,1.0,1.0,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1295.0900221534237,0.0,110.73218335580553,0.805803115630024,1.0017292746407958e-09,1.437515118507737e-09,0.9245778804947711,21.65480955420062,7.108419116485883e-13,8.376924884750655e-16,1.8652532174947995e-13,7.369616222551322e-14,3.553827900112524e-16,5.5084332451744144e-15,5
effective_contact_radius_m__low,effective_contact_radius_m,low,0.00063,0.0015875,0.0011,1.15,1.0,1.0,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1599.6405478217569,0.0,133.73151372614615,0.9638470166985567,1.0017345602067555e-09,1.5158036680641125e-09,0.9361644961924908,26.449896702682082,6.449035457700957e-13,9.573628439715034e-16,2.0367719275303718e-13,9.100199775456618e-14,1.3752496733521924e-16,1.8712907763886247e-15,6
effective_contact_radius_m__high,effective_contact_radius_m,high,0.00063,0.0015875,0.0015875,1.15,1.0,1.0,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1157.1782006462547,0.0,97.33068413974439,0.7119298970287459,1.001728348616475e-09,1.397230930023737e-09,0.9177734240127121,18.929168126340667,6.038566138348432e-13,1.1967035549643792e-15,1.2751001175414924e-13,9.640763859039501e-14,2.0173560757197091e-16,2.6225628984356218e-15,5
bulk_resistivity_scale__low,bulk_resistivity_scale,low,0.00063,0.0015875,0.00135,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1339.4286924835665,0.0,109.77054578503237,0.7963904874736667,1.0017292746407958e-09,1.4495232443445703e-09,0.9323491470324856,21.638438242064726,4.866993358038947e-13,7.180221329786275e-16,1.6274911387026324e-13,7.308499547206176e-14,2.748515744244482e-16,2.8641981481772842e-15,5
bulk_resistivity_scale__high,bulk_resistivity_scale,high,0.00063,0.0015875,0.00135,1.3,1.0,1.0,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1317.008027921232,0.0,112.03689176294372,0.8198703050194215,1.0017292746407958e-09,1.443503362531926e-09,0.9184362602383566,21.776364887390358,3.672683210185004e-13,5.983517774821896e-16,1.0009112322681874e-13,3.183738668020702e-14,3.541010247818713e-16,3.0098587106459073e-15,5
thermal_conductivity_scale__low,thermal_conductivity_scale,low,0.00063,0.0015875,0.00135,1.15,0.85,1.0,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1385.4416657775414,0.0,111.31895086665267,0.8121992317874891,1.0017292746407958e-09,1.4617838138634266e-09,0.9245919356912723,21.708934010845624,6.882242144597779e-13,9.573628439715034e-16,1.447288046192813e-13,1.0807134123624992e-13,2.1673866991710286e-16,2.105408025633631e-15,5
thermal_conductivity_scale__high,thermal_conductivity_scale,high,0.00063,0.0015875,0.00135,1.15,1.15,1.0,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1280.338003662154,0.0,110.57231719317434,0.804890250661047,1.0017292746407958e-09,1.433388251512745e-09,0.9256729240345412,21.699562244434993,6.882242144597779e-13,7.180221329786275e-16,1.0793789906133824e-13,1.0807134123624992e-13,3.967126104386053e-16,3.7384620300161985e-15,5
volumetric_heat_capacity_scale__low,volumetric_heat_capacity_scale,low,0.00063,0.0015875,0.00135,1.15,1.0,0.9,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1404.7987275813239,0.0,112.17929517359,0.8213215077903996,1.0017292746407958e-09,1.4668318966404564e-09,0.9217744557636615,21.842287561968664,6.882242144597779e-13,5.983517774821896e-16,1.6169261741200682e-13,1.0807134123624992e-13,3.4329158529678753e-16,1.9290097056845646e-15,5
volumetric_heat_capacity_scale__high,volumetric_heat_capacity_scale,high,0.00063,0.0015875,0.00135,1.15,1.0,1.1,1.0,1.0,1.0,0.5,0.4,3800.0,3500.0,1262.8026507735215,0.0,109.84123650093379,0.7967555543904311,1.0017292746407958e-09,1.4284188038283595e-09,0.9280843032088039,21.590647981193193,6.882242144597779e-13,7.180221329786275e-16,1.1594113315132738e-13,1.0807134123624992e-13,4.1264771595489027e-16,2.492308020010799e-15,5
latent_heat_scale__low,latent_heat_scale,low,0.00063,0.0015875,0.00135,1.15,1.0,1.0,0.85,1.0,1.0,0.5,0.4,3800.0,3500.0,1327.953637505696,0.0,110.91881331578112,0.8083454375300703,1.0017292746407958e-09,1.4464518834935225e-09,0.9251303979541213,21.705959754997316,6.882242144597779e-13,1.0770331994679414e-15,1.4135864162520796e-13,1.0807134123624992e-13,1.9221387559514116e-16,2.136264017152109e-15,5
latent_heat_scale__high,latent_heat_scale,high,0.00063,0.0015875,0.00135,1.15,1.0,1.0,1.15,1.0,1.0,0.5,0.4,3800.0,3500.0,1327.953637505696,0.0,110.91881331578112,0.8083454375300703,1.0017292746407958e-09,1.4464518834935225e-09,0.9251303979541213,21.705959754997316,6.882242144597779e-13,1.0770331994679414e-15,1.4135864162520796e-13,1.0807134123624992e-13,1.9221387559514116e-16,2.136264017152109e-15,5
faying_resistance_scale__low,faying_resistance_scale,low,0.00063,0.0015875,0.00135,1.15,1.0,1.0,1.0,0.5,1.0,0.5,0.4,3800.0,3500.0,875.0140970047808,0.0,76.98654519969105,0.546655440388885,5.008646373203979e-10,6.519513530856907e-10,0.92211215596115,21.33275067487402,4.95674612466123e-13,4.786814219857517e-16,8.339628518135256e-14,3.891933660050987e-14,2.7131166195693337e-16,4.069674929354001e-15,4
faying_resistance_scale__high,faying_resistance_scale,high,0.00063,0.0015875,0.00135,1.15,1.0,1.0,1.0,1.5,1.0,0.5,0.4,3800.0,3500.0,1774.7188116319057,0.2316831597208875,146.82178446473068,1.0789505833489208,1.5025939119611937e-09,2.3418360859880603e-09,0.9284998240817507,22.031350356674544,8.282385303905037e-13,1.1967035549643792e-15,2.83169342955054e-13,1.0646884988680831e-13,3.4119986768732313e-16,3.445107761694505e-15,6
electrode_resistance_scale__low,electrode_resistance_scale,low,0.00063,0.0015875,0.00135,1.15,1.0,1.0,1.0,1.0,0.5,0.5,0.4,3800.0,3500.0,1202.3814802537947,0.0,87.53652034451696,0.6372338845690246,1.0017292746407958e-09,1.4115588169898618e-09,0.9192335190931342,10.846060011118194,6.225251892922758e-13,1.675384976950131e-15,1.689612311467175e-13,1.6879979112145367e-13,2.132217730201224e-16,2.471112294190502e-15,5
electrode_resistance_scale__high,electrode_resistance_scale,high,0.00063,0.0015875,0.00135,1.15,1.0,1.0,1.0,1.0,1.5,0.5,0.4,3800.0,3500.0,1443.2136292815342,0.0,134.57220105332186,0.97930505724768,1.0017292746407958e-09,1.4762029505763991e-09,0.9297567007536975,32.754257265454555,6.775735528206021e-13,7.180221329786275e-16,1.34240986485358e-13,9.814373243111386e-14,3.09336380248708e-16,4.2342975809935015e-15,5
