run_order,phase,schedule_code,current_level_code,force_level_code,replicate,selection_use
1,calibration,I3_F3,I3,F3,3,development_only
2,calibration,I3_F2,I3,F2,1,development_only
3,qualification,Q1,sealed,sealed,3,frozen_checkpoint_only
4,calibration,I3_F1,I3,F1,1,development_only
5,qualification,Q5,sealed,sealed,1,frozen_checkpoint_only
6,calibration,I1_F2,I1,F2,2,development_only
7,qualification,Q5,sealed,sealed,3,frozen_checkpoint_only
8,calibration,I3_F3,I3,F3,2,development_only
9,calibration,I1_F3,I1,F3,2,development_only
10,qualification,Q1,sealed,sealed,2,frozen_checkpoint_only
11,calibration,I1_F2,I1,F2,3,development_only
12,calibration,I3_F1,I3,F1,3,development_only
13,qualification,Q4,sealed,sealed,3,frozen_checkpoint_only
14,qualification,Q2,sealed,sealed,3,frozen_checkpoint_only
15,calibration,I2_F3,I2,F3,2,development_only
16,calibration,I3_F3,I3,F3,1,development_only
17,qualification,Q2,sealed,sealed,1,frozen_checkpoint_only
18,qualification,Q4,sealed,sealed,2,frozen_checkpoint_only
19,calibration,I2_F1,I2,F1,2,development_only
20,qualification,Q2,sealed,sealed,2,frozen_checkpoint_only
21,qualification,Q3,sealed,sealed,3,frozen_checkpoint_only
22,calibration,I2_F3,I2,F3,3,development_only
23,calibration,I3_F2,I3,F2,3,development_only
24,calibration,I1_F3,I1,F3,1,development_only
25,calibration,I2_F3,I2,F3,1,development_only
26,calibration,I2_F1,I2,F1,3,development_only
27,qualification,Q1,sealed,sealed,1,frozen_checkpoint_only
28,calibration,I2_F1,I2,F1,1,development_only
29,qualification,Q3,sealed,sealed,2,frozen_checkpoint_only
30,calibration,I3_F2,I3,F2,2,development_only
31,calibration,I3_F1,I3,F1,2,development_only
32,calibration,I1_F2,I1,F2,1,development_only
33,calibration,I1_F1,I1,F1,1,development_only
34,calibration,I2_F2,I2,F2,1,development_only
35,calibration,I2_F2,I2,F2,3,development_only
36,qualification,Q5,sealed,sealed,2,frozen_checkpoint_only
37,calibration,I1_F1,I1,F1,3,development_only
38,qualification,Q4,sealed,sealed,1,frozen_checkpoint_only
39,qualification,Q3,sealed,sealed,1,frozen_checkpoint_only
40,calibration,I1_F1,I1,F1,2,development_only
41,calibration,I2_F2,I2,F2,2,development_only
42,calibration,I1_F3,I1,F3,3,development_only
