sample_id,target_stack_compatible,record_count,welding_time_ms,nominal_inclusive_count_at_10hz,count_gap_from_nominal_hypothesis,record_index_strictly_increasing,invalid_current_count,invalid_force_count,current_mean_a,current_rms_a,current_jensen_ratio,force_min_stored,force_mean_positive_stored,force_max_stored
1,False,3,200.0,3,0,True,0,1,1244.7766666666666,1250.153768075485,1.0086581237762875,0.0,5.115,6.82
3,False,15,1500.0,16,-1,True,0,0,1266.296,1275.844868814387,1.015138438104208,55.78,89.71199999999999,123.36
4,False,3,200.0,3,0,True,0,1,1416.6733333333334,1418.5783010935045,1.0026911617495597,0.0,12.43,16.57
5,False,3,200.0,3,0,True,0,0,1474.3500000000001,1481.8327999811584,1.0101764015169796,24.85,33.13666666666666,41.42
6,False,16,1500.0,16,0,True,0,1,1085.363125,1088.6044214469048,1.0059816594616529,0.0,66.28266666666667,124.19
7,False,15,1500.0,16,-1,True,0,0,1035.1979999999999,1039.0783540073705,1.0075108850678953,63.82,97.64466666666665,127.46
8,False,3,200.0,3,0,True,0,1,1207.3500000000001,1208.172192515068,1.0013624424851932,0.0,4.9350000000000005,6.58
9,False,3,200.0,3,0,True,0,0,1115.1333333333334,1115.397764715948,1.0004743158992637,9.88,13.173333333333332,16.47
10,False,16,1500.0,16,0,True,0,1,1047.665,1055.821593629814,1.0156316097244724,0.0,26.754000000000005,50.62
11,False,16,1500.0,16,0,True,0,0,1098.595,1099.6081176776115,1.001845238369217,54.07,91.91,129.13
12,False,3,200.0,3,0,True,0,1,1268.7066666666667,1270.6224958132398,1.003022409686849,0.0,12.415,16.55
13,False,3,200.0,3,0,True,0,0,1277.7433333333336,1277.82154462194,1.0001224247158897,24.85,33.196666666666665,41.54
14,False,16,1500.0,16,0,True,0,1,1046.9831250000002,1050.922536557167,1.0075394201485959,0.0,66.40133333333334,124.16
15,False,15,1500.0,16,-1,True,0,1,1172.2313333333332,1179.1618900529872,1.0118595096524576,0.0,24.909285714285712,46.58
16,False,3,200.0,3,0,True,0,1,869.13,873.8803317197764,1.010961107007521,0.0,4.96,6.61
17,False,3,200.0,3,0,True,0,1,1932.03,1933.1125434645548,1.0011209419591687,0.0,5.005,6.67
