sample_id,internal_split,stratification_category,target_stack_compatible
1,train,Bad,False
3,validation,Good,False
4,train,Bad,False
5,train,Bad,False
6,train,Good,False
7,validation,Good,False
8,train,Bad,False
9,train,Bad,False
10,train,Good,False
11,train,Good,False
12,train,Bad,False
13,train,Bad,False
14,train,Good,False
15,validation,Good,False
16,train,Bad,False
17,train,Bad,False
18,train,Bad,False
19,train,Good,False
20,train,Explode,False
21,validation,Explode,False
22,train,Explode,False
24,train,Bad,False
25,validation,Bad,False
26,validation,Bad,False
27,validation,Good,False
28,train,Explode,False
29,train,Explode,False
30,train,Good,False
31,train,Bad,False
34,train,Good,True
35,train,Good,True
36,train,Good,True
37,train,Good,True
39,train,Good,True
40,validation,Good,True
41,train,Good,True
42,train,Good,True
44,train,Good,True
45,train,Good,True
46,train,Good,True
47,train,Good,True
48,train,Good,True
49,train,Good,True
50,train,Good,True
51,train,Good,True
52,validation,Good,True
53,train,Good,True
54,train,Good,True
55,train,Good,True
58,train,Good,True
59,train,Good,True
60,train,Good,True
61,train,Good,True
62,train,Good,True
64,train,Good,True
65,train,Good,True
66,train,Good,True
67,train,Good,True
70,train,Good,True
71,train,Good,True
72,train,Good,True
73,train,Good,True
75,train,Good,True
77,validation,Good,True
79,validation,Good,True
80,validation,Good,True
81,train,Good,True
82,train,Good,True
83,train,Good,True
85,validation,Good,True
86,validation,Good,True
87,train,Good,True
88,validation,Good,True
89,train,Explode,True
90,train,Good,True
91,validation,Good,True
92,train,Good,True
93,validation,Good,True
94,validation,Good,True
95,train,Good,True
96,train,Good,True
97,validation,Good,True
98,train,Good,True
99,train,Good,True
100,validation,Good,True
101,train,Good,True
102,train,Good,True
103,train,Good,True
105,train,Good,True
106,train,Good,True
108,train,Good,True
109,train,Good,True
110,train,Good,True
111,train,Good,True
112,train,Good,True
113,train,Good,True
114,train,Good,True
116,validation,Good,True
118,train,Good,True
119,train,Good,True
122,validation,Good,True
123,train,Good,False
125,train,Good,True
127,validation,Good,True
128,train,Good,True
129,train,Good,True
130,train,Good,True
132,train,Good,True
133,train,Good,True
135,train,Good,True
136,train,Good,True
137,train,Good,True
138,train,Good,True
140,train,Good,True
141,train,Good,True
142,train,Good,True
143,validation,Good,True
144,validation,Good,True
145,train,Good,True
146,train,Good,True
147,validation,Good,True
149,validation,Good,True
150,train,Good,True
151,train,Good,True
152,train,Good,True
153,train,Good,True
154,train,Good,True
157,validation,Good,True
158,train,Good,True
160,train,Good,True
161,train,Good,True
164,train,Good,True
166,train,Good,True
167,train,Good,True
168,train,Good,True
171,validation,Good,True
172,train,Good,True
173,train,Good,True
174,validation,Good,True
176,train,Good,True
177,train,Good,True
178,train,Good,True
179,train,Good,True
180,train,Good,True
181,validation,Good,True
182,train,Good,True
183,train,Good,True
186,train,Good,True
187,train,Good,True
188,train,Good,True
189,train,Bad,True
191,train,Good,True
193,train,Good,True
195,validation,Good,True
196,validation,Good,True
198,train,Good,True
199,train,Good,True
201,train,Good,True
203,train,Good,True
204,validation,Good,True
205,validation,Good,True
207,train,Good,True
209,validation,Good,True
210,train,Good,True
212,validation,Good,True
213,train,Good,True
214,train,Good,True
215,train,Good,True
216,train,Good,True
218,train,Good,True
219,train,Good,True
222,train,Good,True
224,train,Good,True
225,validation,Explode,True
226,train,Good,True
227,train,Good,True
228,train,Good,True
229,train,Good,True
230,train,Good,True
231,train,Good,True
232,train,Good,True
233,train,Good,True
234,validation,Good,True
235,train,Bad,True
236,train,Good,True
237,train,Good,True
238,train,Good,True
239,train,Good,True
240,train,Good,True
241,validation,Good,True
242,train,Good,True
243,validation,Good,True
244,train,Good,True
246,train,Good,True
247,train,Good,True
248,train,Good,True
249,train,Good,True
251,validation,Good,True
254,train,Good,True
255,train,Good,True
256,train,Good,True
257,train,Good,True
258,train,Good,True
259,train,Good,True
261,train,Good,True
262,train,Good,True
264,train,Good,True
265,train,Good,True
266,validation,Good,True
268,train,Good,True
269,train,Good,True
270,train,Good,True
271,train,Good,True
272,train,Good,True
274,train,Good,True
275,train,Good,True
276,validation,Good,True
278,train,Good,True
279,train,Good,True
282,validation,Good,True
283,validation,Good,True
284,validation,Good,True
285,train,Good,True
286,train,Good,True
287,train,Good,True
288,train,Good,True
289,train,Good,True
290,validation,Good,True
291,train,Good,True
292,train,Good,True
294,train,Good,True
295,train,Good,True
296,train,Good,True
297,train,Good,True
298,train,Good,True
299,train,Good,True
300,train,Good,True
302,train,Good,True
303,train,Good,True
304,train,Good,True
305,train,Good,True
306,train,Good,True
307,train,Good,True
310,train,Good,True
311,train,Good,True
312,train,Good,True
313,train,Good,True
314,train,Good,True
316,validation,Good,True
317,train,Explode,True
318,train,Good,True
320,train,Good,True
322,train,Good,True
323,train,Explode,True
326,train,Good,True
328,validation,Good,True
329,train,Good,True
330,validation,Good,True
331,train,Good,True
332,train,Good,True
333,train,Good,True
334,train,Explode,True
337,train,Explode,True
338,validation,Good,True
340,validation,Good,True
342,validation,Good,True
343,train,Good,True
344,train,Good,True
345,train,Good,True
346,validation,Good,True
347,train,Good,True
349,validation,Explode,True
350,train,Good,True
352,validation,Good,True
353,validation,Good,True
354,train,Good,True
355,validation,Good,True
357,train,Good,True
358,train,Good,True
359,train,Good,True
